Id,Country,Short Name,ISO Code,Year,RLE_Score,Property Rights,Judicial Effectiveness,Government Integrity,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom,Code,Productivity,Country Code,Indicator Name,Indicator Code,INV_Score
5,Argentina,Argentina,AR,2019,52.2,47.8,44.5,33.5,69.3,49.5,33.0,56.4,46.9,60.2,70.0,55.0,60.0,ARG,29.42588,ARG,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,14.199046142268074
7,Australia,Australia,AU,2019,80.9,79.1,86.5,79.9,62.8,60.1,86.2,88.3,84.1,86.6,87.6,80.0,90.0,AUS,61.438488,AUS,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,23.3269273348118
8,Austria,Austria,AT,2019,72.0,84.2,71.3,77.4,50.5,24.5,85.5,74.9,68.7,81.5,86.0,90.0,70.0,AUT,65.15168,AUT,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,24.913282624845802
12,Bangladesh,Bangladesh,BD,2019,55.6,36.1,34.5,24.4,72.7,94.5,77.6,50.9,68.2,69.9,63.6,45.0,30.0,BGD,4.791032,BGD,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,32.2137298382397
15,Belgium,Belgium,BE,2019,67.3,81.3,61.6,72.5,47.1,15.2,73.4,78.1,61.0,76.1,86.0,85.0,70.0,BEL,66.26524,BEL,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,24.279768931044927
22,Brazil,Brazil,BR,2019,51.9,57.3,51.7,28.1,70.5,55.2,5.9,57.9,51.9,75.5,69.0,50.0,50.0,BRA,19.195236,BRA,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,15.471169747836383
23,Bulgaria,Bulgaria,BG,2019,69.0,62.5,41.9,35.1,90.2,63.9,98.8,62.7,68.4,88.0,86.0,70.0,60.0,BGR,26.554285,BGR,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,18.60842774937254
27,Cambodia,Cambodia,KH,2019,57.8,37.4,27.6,16.7,89.7,85.9,89.1,29.9,63.0,79.4,65.4,60.0,50.0,KHM,3.4332101,KHM,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,23.35811453488758
29,Canada,Canada,CA,2019,77.7,87.0,69.4,84.6,76.8,51.3,83.1,81.9,73.7,77.2,86.8,80.0,80.0,CAN,57.244343,CAN,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,22.278039920494752
33,Chile,Chile,CL,2019,75.4,68.7,56.3,62.3,77.3,81.0,89.0,76.6,65.0,84.5,88.8,85.0,70.0,CHL,28.418756,CHL,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,24.55320143523392
34,China,China,CN,2019,58.4,49.9,75.2,49.1,70.4,70.1,76.0,56.2,64.2,71.9,73.0,25.0,20.0,CHN,11.692401,CHN,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,42.82258435089993
34,China,China,CN,2019,58.4,49.9,75.2,49.1,70.4,70.1,76.0,56.2,64.2,71.9,73.0,25.0,20.0,CHN,11.692401,HKG,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,18.298900853228105
34,China,China,CN,2019,58.4,49.9,75.2,49.1,70.4,70.1,76.0,56.2,64.2,71.9,73.0,25.0,20.0,CHN,11.692401,MAC,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,13.812762328013825
35,Colombia,Colombia,CO,2019,67.3,59.2,34.3,33.5,74.3,75.0,79.2,71.4,78.5,75.6,76.0,80.0,70.0,COL,16.958618,COL,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,21.269107264816974
39,Costa Rica,CostaRica,CR,2019,65.3,58.3,54.0,54.5,79.2,88.4,42.5,67.2,55.2,83.2,81.4,70.0,50.0,CRI,20.024153,CRI,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,16.254166477170198
41,Croatia,Croatia,HR,2019,61.4,66.0,42.9,38.6,66.4,33.4,85.4,60.7,44.0,78.5,86.0,75.0,60.0,HRV,32.262863,HRV,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,21.28715315605381
43,Cyprus,Cyprus,CY,2019,68.1,73.1,48.1,43.7,74.9,55.2,80.3,76.9,59.5,84.0,86.0,75.0,60.0,CYP,42.394142,CYP,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,18.951605839535738
45,Denmark,Denmark,DK,2019,76.7,86.2,77.8,85.8,42.0,14.4,96.7,90.7,86.4,84.1,86.0,90.0,80.0,DNK,76.00354,DNK,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,21.240857699410643
48,Dominican Republic,DominicanRepublic,DO,2019,61.0,50.6,18.1,23.2,84.6,90.3,89.9,51.9,57.6,79.7,75.8,70.0,40.0,DOM,17.53021,DOM,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,26.773856623610808
